"","nazwa","ekran","pamiec_RAM","dysk","cena","liczba_opinii","ocena_klientow","status_opinii"
"1","Macbook Apple 1","13.3","8","256",7000,100,"0","50-100 opinii"
"2","Macbook Apple 2","13.3","8","512",9000,150,"0.5","więcej 100 opinii"
"3","Macbook Apple 3","13.3","8","1000",11000,200,"1","więcej 100 opinii"
"4","Macbook Apple 4","16","16","512",12000,300,"1.5","więcej 100 opinii"
"5","Macbook Apple 5","16","16","1000",14000,250,"2","więcej 100 opinii"
"6","Macbook Apple 6","16","16","2000",16000,400,"2.5","więcej 100 opinii"
"7","Macbook Apple 7","14","8","256",9000,50,"3","50-100 opinii"
"8","Macbook Apple 8","14","8","512",10000,80,"3.5","50-100 opinii"
"9","Macbook Apple 9","15.4","16","512",13000,120,"4","więcej 100 opinii"
"10","Macbook Apple 10","15.4","16","1000",15000,180,"4.5","więcej 100 opinii"
"11","Macbook Pro M1X","16 cali","16 GB","1 TB",9999,0,"5","nie ma"
"12","Macbook Air","13,3""","8 GB","512 GB",9999,20,"4.5","mniej 50 opinii"
"13","Macbook Pro","13,3""","16 GB","1 TB",12999,25,"4","mniej 50 opinii"
"14","Macbook Pro 16","16""","16 GB","512 GB",18999,10,"5","mniej 50 opinii"
"15","Macbook Pro M1","13,3""","8 GB","512 GB",10999,15,"3.5","mniej 50 opinii"
